header:,ID,Name,Type,Wave,Watch,Measure,FileName
record:,4,S,Cell Culture,600,-0.0024805,Cell Culture,20171107101749.csv
record:,3,S,Cell Culture,600,-0.00145324,Cell Culture,20171107101732.csv
record:,2,S,Cell Culture,600,-0.000884583,Cell Culture,20171107101720.csv
record:,1,S,Cell Culture,600,0.0160453,Cell Culture,20171107101703.csv
record:,1,S,Cell Culture,600,0.00375358,Cell Culture,20171106110107.csv
record:,1,S,Cell Culture,600,0.00116902,Cell Culture,20171103145144.csv
record:,1,S,Cell Culture,600,-0.0202934,Cell Culture,20171103145017.csv
record:,1,S,Cell Culture,600,0.0836359,Cell Culture,20171103144217.csv
record:,1,S,Cell Culture,600,0.00471423,Cell Culture,20171103143358.csv
record:,1,S,Cell Culture,600,0.0255101,Cell Culture,20171103143318.csv
record:,1,S,Cell Culture,600,0.0428521,Cell Culture,20171103143128.csv
record:,1,S,Cell Culture,600,-0.00509751,Cell Culture,20171103142951.csv
record:,1,S,Cell Culture,600,0.0188259,Cell Culture,20171103142527.csv
record:,1,S,Cell Culture,600,0.0169085,Cell Culture,20171103141502.csv
record:,1,S,Cell Culture,600,-0.0124441,Cell Culture,20171103085506.csv
record:,1,S,Cell Culture,600,0.000777471,Cell Culture,20171030133658.csv
