header:,ID,Name,Conc,Unit,A260/A280,A260/A230,A260,A230,A280,Type,Coef,Measure,FileName
record:,1,S,1.01099,ng/uL,0.570066,0.373589,0.0202198,0.0541231,0.0354692,DS-DNA,50,Nucleic Acid,20171107094220.csv
record:,1,S,0,ng/uL,1.18027,-0.609494,-0.00245651,0.00403041,-0.00208131,DS-DNA,50,Nucleic Acid,20171107093052.csv
record:,1,S,0.326879,ng/uL,5.05907,-0.446397,0.00653758,-0.0146452,0.00129225,DS-DNA,50,Nucleic Acid,20171107092651.csv
record:,1,S,0,ng/uL,-0.114029,0.504185,-0.00280622,-0.00556585,0.0246097,DS-DNA,50,Nucleic Acid,20171103150924.csv
record:,1,S,3.13742,ng/uL,4.04546,1.1376,0.0627483,0.0551584,0.0155108,DS-DNA,50,Nucleic Acid,20171103143811.csv
record:,1,S,0,ng/uL,1.67988,1.52514,-0.0897162,-0.058825,-0.0534064,DS-DNA,50,Nucleic Acid,20171103140739.csv
record:,1,S,7.4938,ng/uL,1.59287,0.509143,0.149876,0.294369,0.0940919,DS-DNA,50,Nucleic Acid,20171103140357.csv
record:,1,S,4.97744,ng/uL,0.90052,0.461424,0.0995489,0.215743,0.110546,DS-DNA,50,Nucleic Acid,20171103140007.csv
record:,1,S,1.11722,ng/uL,-0.61204,-0.36249,0.0223444,-0.0616414,-0.0365081,DS-DNA,50,Nucleic Acid,20171103135627.csv
record:,1,S,1.16315,ng/uL,-3.52253,-2.52528,0.023263,-0.00921203,-0.00660406,DS-DNA,50,Nucleic Acid,20171103135425.csv
record:,1,S,1.66876,ng/uL,-1.17076,-0.979469,0.0333752,-0.0340748,-0.0285074,DS-DNA,50,Nucleic Acid,20171103135238.csv
record:,1,S,1.88968,ng/uL,-0.882084,-1.29771,0.0377936,-0.0291233,-0.0428458,DS-DNA,50,Nucleic Acid,20171103134941.csv
record:,1,S,0,ng/uL,-0.982879,0.565041,-0.0356681,-0.0631248,0.0362894,DS-DNA,50,Nucleic Acid,20171103134153.csv
record:,1,S,0,ng/uL,-7.28718,-0.16247,-0.0168,0.103404,0.00230542,DS-DNA,50,Nucleic Acid,20171103133611.csv
record:,1,S,0,ng/uL,3.22828,0.673045,-0.32358,-0.48077,-0.100233,DS-DNA,50,Nucleic Acid,20171103132116.csv
record:,1,S,5.6689,ng/uL,-5.44819,0.735877,0.113378,0.154072,-0.0208102,DS-DNA,50,Nucleic Acid,20171103131333.csv
record:,1,S,0,ng/uL,1.47381,1.07075,-0.0343073,-0.0320404,-0.0232779,DS-DNA,50,Nucleic Acid,20171103115153.csv
record:,1,S,3.04863,ng/uL,3.55374,1.15301,0.0609726,0.0528811,0.0171573,DS-DNA,50,Nucleic Acid,20171103114402.csv
record:,1,S,0.196636,ng/uL,0.538213,-1.17473,0.00393272,-0.00334777,0.007307,DS-DNA,50,Nucleic Acid,20171103114250.csv
record:,1,S,2.72105,ng/uL,-2.04189,1.35842,0.054421,0.040062,-0.0266523,DS-DNA,50,Nucleic Acid,20171103113117.csv
record:,1,S,0,ng/uL,0.428669,0.7777,-0.0151534,-0.0194849,-0.0353499,DS-DNA,50,Nucleic Acid,20171103112855.csv
