header:,ID,Name,Conc,Unit,A260/A280,A260/A230,A260,A230,A280,Type,Coef,Measure,FileName
record:,1,KAIAO,0.000205791,mg/mL,0.223758,0.38775,4.60473e-5,0.000118755,0.000205791,A280,10,Protein,20180124163541.csv
record:,1,BIOFUTURE,0,mg/mL,-1.13124,-6.89719,0.239434,-0.0347147,-0.211657,A280,10,Protein,20180116172214.csv
record:,1,KAIAO,0.432798,mg/mL,0.611225,-8.80862,0.264537,-0.0300316,0.432798,A280,10,Protein,20171214150954.csv
record:,1,KAIAO,1.19626,mg/mL,-0.0818091,-0.921542,-0.097865,0.106197,1.19626,A280,10,Protein,20171214150941.csv
record:,1,KAIAO,0.363273,mg/mL,-0.298492,0.401527,-0.108434,-0.270054,0.363273,A280,10,Protein,20171214143608.csv
record:,4,KAIAO,0.0131421,mg/mL,0.419499,-1.16161,0.0055131,-0.00474607,0.0131421,A280,10,Protein,20171214141027.csv
record:,3,KAIAO,0.00849893,mg/mL,-1.55192,-24.7183,-0.0131897,0.000533601,0.00849893,A280,10,Protein,20171214141020.csv
record:,2,KAIAO,0.0211761,mg/mL,0.619146,2.01777,0.0131111,0.00649781,0.0211761,A280,10,Protein,20171214141013.csv
record:,1,KAIAO,0,mg/mL,-7.02335,0.808559,0.500318,0.618777,-0.0712364,A280,10,Protein,20171212145932.csv
record:,1,KAIAO,0,mg/mL,1.04952,0.428639,-0.0542434,-0.126548,-0.0516842,A280,10,Protein,20171212142030.csv
record:,2,KAIAO,0.131687,mg/mL,1.77634,0.562174,0.233921,0.416101,0.131687,A280,10,Protein,20171212141610.csv
record:,1,KAIAO,0,mg/mL,2.80612,1.83626,-0.153741,-0.083725,-0.0547878,A280,10,Protein,20171212141605.csv
record:,1,KAIAO,0.162055,mg/mL,2.35752,1.81596,0.382048,0.210384,0.162055,A280,10,Protein,20171211111223.csv
record:,1,KAIAO,0,mg/mL,1.73295,0.247786,-0.112084,-0.452342,-0.064678,A280,10,Protein,20171209170559.csv
record:,1,KAIAO,0,mg/mL,1.39372,0.751927,-0.230895,-0.307071,-0.165668,A280,10,Protein,20171209170235.csv
record:,1,KAIAO,0.0241154,mg/mL,1.97092,-0.908374,0.0475295,-0.0523237,0.0241154,A280,10,Protein,20171209152433.csv
record:,1,KAIAO,0.0317302,mg/mL,1.00182,-0.40327,0.0317878,-0.0788252,0.0317302,A280,10,Protein,20171209151211.csv
record:,1,KAIAO,0.00476175,mg/mL,-1.2707,-0.152439,-0.00605077,0.0396931,0.00476175,A280,10,Protein,20171209145902.csv
record:,8,KAIAO,0,mg/mL,-0.531664,0.492316,0.00919986,0.0186869,-0.0173039,A280,10,Protein,20171209145235.csv
record:,7,KAIAO,0,mg/mL,-0.430998,0.338771,0.0169123,0.0499225,-0.0392399,A280,10,Protein,20171209145217.csv
record:,6,KAIAO,0,mg/mL,0.941593,1.00333,-0.129341,-0.128912,-0.137364,A280,10,Protein,20171209145043.csv
record:,5,KAIAO,0,mg/mL,1.52888,3.05894,-0.0547715,-0.0179054,-0.0358247,A280,10,Protein,20171209145021.csv
record:,4,KAIAO,0,mg/mL,1.04764,1.70367,-0.0730353,-0.0428693,-0.0697142,A280,10,Protein,20171209145013.csv
record:,3,KAIAO,0,mg/mL,0.862545,1.40181,-0.0878416,-0.0626632,-0.10184,A280,10,Protein,20171209145010.csv
record:,2,KAIAO,0,mg/mL,1.44247,1.76219,-0.111531,-0.063291,-0.0773192,A280,10,Protein,20171209145006.csv
record:,1,KAIAO,0,mg/mL,1.10816,2.46974,-0.0546877,-0.0221431,-0.0493501,A280,10,Protein,20171209145001.csv
record:,1,yu,0.394197,mg/mL,0.243296,0.480739,0.0959065,0.199498,0.394197,A280,10,Protein,20171208171213.csv
record:,1,th,0.0826623,mg/mL,1.83817,0.431649,0.151947,0.352015,0.0826623,A280,10,Protein,20171208161805.csv
record:,4,234,0,mg/mL,1.45212,0.871953,-0.589162,-0.675681,-0.405726,A280,10,Protein,20171208161745.csv
record:,3,234,0,mg/mL,2.45884,1.39118,-0.520612,-0.374224,-0.211731,A280,10,Protein,20171208161737.csv
record:,2,234,0,mg/mL,-0.114275,-0.24171,0.0136905,-0.0566402,-0.119803,A280,10,Protein,20171208161729.csv
record:,1,234,0,mg/mL,-0.217454,0.151059,0.0346952,0.22968,-0.159552,A280,10,Protein,20171208161717.csv
record:,7,KAIAO,0,mg/mL,0.0490522,-0.061061,-0.0106044,0.173669,-0.216186,A280,10,Protein,20171208134418.csv
record:,6,KAIAO,0.163135,mg/mL,-0.0829479,-0.115113,-0.0135317,0.117551,0.163135,A280,10,Protein,20171208134414.csv
record:,5,KAIAO,0,mg/mL,1.0429,0.85513,-0.349721,-0.408968,-0.335335,A280,10,Protein,20171208134411.csv
record:,4,KAIAO,0.0781439,mg/mL,4.36484,1.27974,0.341086,0.266528,0.0781439,A280,10,Protein,20171208134408.csv
record:,3,KAIAO,0.17388,mg/mL,1.93612,0.614448,0.336652,0.547893,0.17388,A280,10,Protein,20171208134405.csv
record:,2,KAIAO,0,mg/mL,-22.5719,0.544639,0.115214,0.211542,-0.0051043,A280,10,Protein,20171208134402.csv
