header:,ID,Name,Type,Wave,Watch,Measure,FileName
record:,1,KAIAO,Cell Culture,600,2.22088e-6,Cell Culture,20180124163141.csv
record:,2,BIOFUTURE,Cell Culture,600,-0.00505755,Cell Culture,20180116131032.csv
record:,1,BIOFUTURE,Cell Culture,600,0.00101279,Cell Culture,20180116131013.csv
record:,1,KAIAO,Cell Culture,600,0.00964799,Cell Culture,20180115152832.csv
record:,1,KAIAO,Cell Culture,600,0.0546033,Cell Culture,20180111094516.csv
record:,1,KAIAO,Cell Culture,600,0.0756693,Cell Culture,20180111093531.csv
record:,1,KAIAO,Cell Culture,600,0.00407846,Cell Culture,20171218101851.csv
record:,1,KAIAO,Cell Culture,600,-0.000517604,Cell Culture,20171218101718.csv
record:,1,KAIAO,Cell Culture,600,-0.000707815,Cell Culture,20171218100716.csv
record:,1,KAIAO,Cell Culture,600,-0.00286332,Cell Culture,20171218100620.csv
record:,1,KAIAO,Cell Culture,600,-0.0110093,Cell Culture,20171218100458.csv
record:,1,KAIAO,Cell Culture,600,0.00376517,Cell Culture,20171218100114.csv
record:,2,KAIAO,Cell Culture,600,0.0037339,Cell Culture,20171218095727.csv
record:,1,KAIAO,Cell Culture,600,0.0111838,Cell Culture,20171218095633.csv
record:,1,KAIAO,Cell Culture,600,-0.0113549,Cell Culture,20171218095439.csv
record:,1,KAIAO,Cell Culture,600,0.00565254,Cell Culture,20171218095258.csv
record:,2,KAIAO,Cell Culture,600,0.0028341,Cell Culture,20171218095135.csv
record:,1,KAIAO,Cell Culture,600,0.0103344,Cell Culture,20171218095127.csv
record:,1,KAIAO,Cell Culture,600,-0.00741741,Cell Culture,20171218090833.csv
record:,1,KAIAO,Cell Culture,600,0.00719109,Cell Culture,20171218090735.csv
record:,1,KAIAO,Cell Culture,600,0.00480518,Cell Culture,20171214150856.csv
record:,1,KAIAO,Cell Culture,600,-0.0117076,Cell Culture,20171214145125.csv
record:,3,KAIAO,Cell Culture,600,0.00978697,Cell Culture,20171214143054.csv
record:,2,KAIAO,Cell Culture,600,-0.0199187,Cell Culture,20171214143047.csv
record:,1,KAIAO,Cell Culture,600,-0.000583848,Cell Culture,20171214142450.csv
record:,1,KAIAO,Cell Culture,600,0.0771267,Cell Culture,20171214142156.csv
record:,1,yu,Cell Culture,600,0.000100501,Cell Culture,20171212114659.csv
record:,1,KAIAO,Cell Culture,600,-0.0308493,Cell Culture,20171211111237.csv
record:,1,KAIAO,Cell Culture,600,0.00590214,Cell Culture,20171211105849.csv
record:,1,KAIAO,Cell Culture,600,-0.00321782,Cell Culture,20171211091831.csv
record:,1,KAIAO,Cell Culture,600,0.000188694,Cell Culture,20171209171251.csv
record:,1,KAIAO,Cell Culture,600,-0.00291548,Cell Culture,20171209170656.csv
record:,1,KAIAO,Cell Culture,600,0.000528344,Cell Culture,20171209170221.csv
record:,1,KAIAO,Cell Culture,600,0.00182368,Cell Culture,20171209152506.csv
record:,1,KAIAO,Cell Culture,600,-0.00105083,Cell Culture,20171209151225.csv
record:,1,KAIAO,Cell Culture,600,-0.0031777,Cell Culture,20171209150310.csv
record:,2,KAIAO,Cell Culture,600,0.00687074,Cell Culture,20171209145656.csv
record:,1,KAIAO,Cell Culture,600,0.00209977,Cell Culture,20171209145631.csv
record:,1,KAIAO,Cell Culture,600,0.00124601,Cell Culture,20171208163407.csv
record:,1,S,Cell Culture,600,-0.0973224,Cell Culture,20171206140453.csv
record:,1,S,Cell Culture,600,-0.00393478,Cell Culture,20171205104625.csv
